"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","quadname","Grazing","Group"
"39","q21",51,55,0.7334725,0,1,22.7614841461182,0,"e1q4.1","No","lb1"
"40","q21",51,57,11.29833,0,1,-0.183723449707031,1,"e1q4.1","No","lb1"
"41","q21",53,59,6.279575,1,1,6.37178993225098,0,"e1q4.1","No","lb1"
"42","q21",53,61,5.295709,1,1,26.6561660766602,0,"e1q4.1","No","lb1"
"43","q21",53,60,5.323595,1,1,12.4599723815918,0,"e1q4.1","No","lb1"
"44","q21",53,62,4.275749,1,1,14.5849533081055,0,"e1q4.1","No","lb1"
"45","q21",55,63,6.223564,0,1,24.8714179992676,0,"e1q4.1","No","lb1"
"46","q21",58,64,2.490407,1,1,11.2652206420898,0,"e1q4.1","No","lb1"
"47","q21",59,65,11.3097,1,1,18.41676902771,0,"e1q4.1","No","lb1"
"48","q21",59,66,28.48748,1,1,9.80887222290039,0,"e1q4.1","No","lb1"
"49","q21",60,67,38.07064,0,1,10.1330642700195,0,"e1q4.1","No","lb1"
"50","q21",63,68,3.57868,1,1,17.4402008056641,0,"e1q4.1","No","lb1"
"51","q21",64,70,2.581343,0,1,3.26659393310547,0,"e1q4.1","No","lb1"
"52","q21",64,69,19.2389,1,1,-0.032257080078125,1,"e1q4.1","No","lb1"
"53","q21",64,71,14.65802,0,1,-0.285179138183594,1,"e1q4.1","No","lb1"
"54","q21",65,72,9.723453,1,1,14.2682342529297,0,"e1q4.1","No","lb1"
"55","q21",66,73,31.79623,1,1,15.2969818115234,0,"e1q4.1","No","lb1"
"56","q21",67,74,1.38867,0,1,-0.038177490234375,1,"e1q4.1","No","lb1"
"57","q22",35,15,8.493023,1,1,24.1721115112305,0,"e1q4.2","No","lb1"
"58","q22",35,16,7.817016,0,1,29.7114028930664,0,"e1q4.2","No","lb1"
"59","q22",37,17,28.83867,0,1,8.9084997177124,0,"e1q4.2","No","lb1"
"60","q22",38,19,1.228655,0,1,40.2820625305176,0,"e1q4.2","No","lb1"
"61","q22",38,18,1.922688,1,1,9.14553833007812,0,"e1q4.2","No","lb1"
"62","q22",41,20,13.52216,1,1,5.44504261016846,0,"e1q4.2","No","lb1"
"63","q22",42,24,19.68661,1,1,6.34721994400024,0,"e1q4.2","No","lb1"
"64","q22",42,22,0.8596437,0,1,1.43074035644531,1,"e1q4.2","No","lb1"
"65","q22",42,23,2.606849,1,1,0.996991693973541,1,"e1q4.2","No","lb1"
"66","q22",42,29,17.89949,1,1,13.1541290283203,0,"e1q4.2","No","lb1"
"67","q22",42,26,2.7019,0,1,31.8681755065918,0,"e1q4.2","No","lb1"
"68","q22",42,28,2.308652,0,1,35.4940528869629,0,"e1q4.2","No","lb1"
"69","q22",42,30,50.27905,1,1,8.13204956054688,0,"e1q4.2","No","lb1"
"70","q22",42,21,6.753936,1,1,-0.273666381835938,1,"e1q4.2","No","lb1"
"71","q22",42,27,1.552024,1,1,40.6265296936035,0,"e1q4.2","No","lb1"
"72","q22",42,31,3.813313,0,1,3.98101162910461,0,"e1q4.2","No","lb1"
"73","q22",42,32,1.50495,0,1,0.355890482664108,1,"e1q4.2","No","lb1"
"74","q22",42,25,3.213211,0,1,4.35256290435791,0,"e1q4.2","No","lb1"
"75","q22",43,33,5.119005,0,1,16.8057079315186,0,"e1q4.2","No","lb1"
"76","q22",45,34,2.920945,1,1,4.05174160003662,0,"e1q4.2","No","lb1"
"77","q22",47,36,8.781969,1,1,37.4392738342285,0,"e1q4.2","No","lb1"
"78","q22",47,35,5.232495,0,1,28.6051635742188,0,"e1q4.2","No","lb1"
"79","q22",48,39,5.429768,0,1,5.61374664306641,0,"e1q4.2","No","lb1"
"80","q22",48,38,3.717366,1,1,4.32144927978516,0,"e1q4.2","No","lb1"
"81","q22",48,40,1.296116,0,1,3.12558746337891,1,"e1q4.2","No","lb1"
"82","q22",48,37,2.84084,0,1,4.43710327148438,0,"e1q4.2","No","lb1"
"83","q22",51,41,9.662103,1,1,1.98831987380981,0,"e1q4.2","No","lb1"
"84","q22",52,45,11.19274,1,1,5.91680526733398,0,"e1q4.2","No","lb1"
"85","q22",52,43,6.236289,1,1,23.8950595855713,0,"e1q4.2","No","lb1"
"86","q22",52,42,23.63888,1,1,-0.0362167358398438,1,"e1q4.2","No","lb1"
"87","q22",52,44,12.57174,1,1,13.9605922698975,0,"e1q4.2","No","lb1"
"88","q22",53,48,4.321361,1,1,21.4430522918701,0,"e1q4.2","No","lb1"
"89","q22",53,46,7.139627,0,1,8.23173522949219,0,"e1q4.2","No","lb1"
"90","q22",53,47,13.84263,0,1,33.7821846008301,0,"e1q4.2","No","lb1"
"91","q22",53,49,2.879808,0,1,6.49806785583496,0,"e1q4.2","No","lb1"
"92","q22",54,50,5.944239,0,1,20.1022338867188,0,"e1q4.2","No","lb1"
"93","q22",56,52,18.16725,0,1,35.1354942321777,0,"e1q4.2","No","lb1"
"94","q22",56,51,24.4918,1,1,8.57564544677734,0,"e1q4.2","No","lb1"
"95","q22",57,53,3.758872,1,1,32.8378295898438,0,"e1q4.2","No","lb1"
"96","q22",59,55,1.654119,0,1,3.88663506507874,0,"e1q4.2","No","lb1"
"97","q22",59,54,38.47812,0,1,1.14485931396484,0,"e1q4.2","No","lb1"
"98","q22",59,56,8.657925,1,1,30.4501304626465,0,"e1q4.2","No","lb1"
"99","q22",59,57,2.890023,1,1,8.33638000488281,0,"e1q4.2","No","lb1"
"100","q22",60,58,52.86245,1,1,0.0969399362802505,0,"e1q4.2","No","lb1"
"101","q22",61,59,4.488149,1,1,14.0260543823242,0,"e1q4.2","No","lb1"
"102","q22",67,64,5.682502,0,1,6.34732913970947,0,"e1q4.2","No","lb1"
"103","q22",67,63,6.525988,0,1,31.3248157501221,0,"e1q4.2","No","lb1"
"104","q22",67,62,10.40264,1,1,11.6085014343262,0,"e1q4.2","No","lb1"
"105","q22",67,61,2.320143,1,1,6.56437683105469,0,"e1q4.2","No","lb1"
"106","q22",71,70,0.7251915,0,1,9.56948089599609,0,"e1q4.2","No","lb1"
"107","q23",34,27,3.658055,0,1,-0.107772827148438,1,"e1q4a.1","No","lb1"
"108","q23",34,28,8.50361,0,1,18.2736129760742,0,"e1q4a.1","No","lb1"
"109","q23",34,29,10.46873,0,1,22.7546844482422,0,"e1q4a.1","No","lb1"
"110","q23",35,30,12.79278,1,1,8.00251770019531,0,"e1q4a.1","No","lb1"
"111","q23",39,32,2.484576,0,1,25.5940971374512,0,"e1q4a.1","No","lb1"
"112","q23",39,31,1.399361,1,1,1.60438537597656,1,"e1q4a.1","No","lb1"
"113","q23",40,33,16.4508,1,1,8.33954620361328,0,"e1q4a.1","No","lb1"
"114","q23",41,36,29.56692,1,1,18.8154067993164,0,"e1q4a.1","No","lb1"
"115","q23",41,35,18.07902,1,1,11.6447601318359,0,"e1q4a.1","No","lb1"
"116","q23",41,34,9.64068,1,1,1.471923828125,1,"e1q4a.1","No","lb1"
"117","q23",42,40,17.41458,0,1,24.4438667297363,0,"e1q4a.1","No","lb1"
"118","q23",42,41,2.231796,0,1,7.15585327148438,0,"e1q4a.1","No","lb1"
"119","q23",42,38,18.93769,1,1,25.6297912597656,0,"e1q4a.1","No","lb1"
"120","q23",42,37,10.86709,1,1,3.32096862792969,0,"e1q4a.1","No","lb1"
"121","q23",42,39,9.217746,1,1,29.0414733886719,0,"e1q4a.1","No","lb1"
"122","q23",42,42,7.27738,1,1,-0.483481794595718,1,"e1q4a.1","No","lb1"
"123","q23",43,43,12.05006,1,1,0.0464935302734375,1,"e1q4a.1","No","lb1"
"124","q23",44,45,9.029284,1,1,14.6904306411743,0,"e1q4a.1","No","lb1"
"125","q23",44,44,8.975023,1,1,28.3175354003906,0,"e1q4a.1","No","lb1"
"126","q23",45,46,9.81759,1,1,6.08179473876953,0,"e1q4a.1","No","lb1"
"127","q23",46,47,14.17615,1,1,6.14379215240479,0,"e1q4a.1","No","lb1"
"128","q23",47,49,23.96669,1,1,26.2164192199707,0,"e1q4a.1","No","lb1"
"129","q23",47,48,3.983161,0,1,8.46075439453125,0,"e1q4a.1","No","lb1"
"130","q23",49,51,7.118168,1,1,4.79558992385864,0,"e1q4a.1","No","lb1"
"131","q23",49,50,7.105022,1,1,24.7912425994873,0,"e1q4a.1","No","lb1"
"132","q23",50,54,22.03437,1,1,28.8126831054688,0,"e1q4a.1","No","lb1"
"133","q23",50,56,5.414777,1,1,12.0135498046875,0,"e1q4a.1","No","lb1"
"134","q23",50,52,6.92651,1,1,8.93659973144531,0,"e1q4a.1","No","lb1"
"135","q23",50,59,1.042228,0,1,37.386402130127,0,"e1q4a.1","No","lb1"
"136","q23",50,53,6.41142,0,1,14.7844533920288,0,"e1q4a.1","No","lb1"
"137","q23",50,60,4.029105,1,1,25.3918266296387,0,"e1q4a.1","No","lb1"
"138","q23",50,57,0.7196977,0,1,47.7910957336426,0,"e1q4a.1","No","lb1"
"139","q23",50,58,2.97098,0,1,38.3433952331543,0,"e1q4a.1","No","lb1"
"140","q23",50,55,1.728223,1,1,4.38930511474609,0,"e1q4a.1","No","lb1"
"141","q23",50,61,9.713375,1,1,22.554235458374,0,"e1q4a.1","No","lb1"
"142","q23",50,62,7.780057,1,1,15.963828086853,0,"e1q4a.1","No","lb1"
"143","q23",51,63,12.6481,0,1,0.118873596191406,1,"e1q4a.1","No","lb1"
"144","q23",52,64,3.217081,0,1,7.92560720443726,0,"e1q4a.1","No","lb1"
"145","q23",53,65,9.001217,0,1,46.2397575378418,0,"e1q4a.1","No","lb1"
"146","q23",55,66,9.594375,1,1,3.78731536865234,0,"e1q4a.1","No","lb1"
"147","q23",57,67,13.94345,1,1,13.6105575561523,0,"e1q4a.1","No","lb1"
"148","q23",57,68,2.948585,1,1,12.4305267333984,0,"e1q4a.1","No","lb1"
"149","q23",58,70,45.49763,0,1,16.5828399658203,0,"e1q4a.1","No","lb1"
"150","q23",58,69,10.66933,0,1,4.60625457763672,0,"e1q4a.1","No","lb1"
"151","q23",60,71,71.6078,0,1,34.346607208252,0,"e1q4a.1","No","lb1"
"152","q23",61,72,20.50964,0,1,26.3182601928711,0,"e1q4a.1","No","lb1"
"153","q23",64,80,217.7883,1,1,16.2567081451416,0,"e1q4a.1","No","lb1"
"154","q23",64,79,2.049731,0,1,5.8509373664856,0,"e1q4a.1","No","lb1"
"155","q23",64,78,18.55644,1,1,3.99940490722656,0,"e1q4a.1","No","lb1"
"156","q23",64,81,7.207119,0,1,14.8290529251099,0,"e1q4a.1","No","lb1"
"157","q23",67,82,15.62003,0,1,15.8391418457031,0,"e1q4a.1","No","lb1"
