"quad","year","SP_ID","x","y","GenID"
"q21",34,"6","87.06828","67.29292","6"
"q21",34,"17","87.31686","24.22426","17"
"q21",34,"18","87.39967","9.615316","18"
"q22",34,"4","98.19412","84.32417","4"
"q22",34,"14","14.16577","36.90564","14"
"q23",34,"2","70.08817","87.5865","2"
"q23",34,"4","73.98148","78.38711","4"
"q23",34,"6","23.34161","75.64198","6"
"q23",34,"9","88.59325","71.76373","9"
"q23",34,"21","11.4365","20.70672","21"
"q23",34,"26","78.17561","4.025644","26"
"q24",34,"6","24.70361","76.93843","6"
"q25",34,"3","7.868858","73.2653","3"
"q25",34,"11","67.94086","15.16614","11"
"q25",34,"12","56.02029","8.349452","12"
"q25",34,"13","75.5093","4.503696","13"
"q31",35,"23","19.57774","52.16758","23"
"q31",35,"24","21.48911","47.29609","24"
"q31",35,"25","18.28042","45.02024","25"
"q31",35,"40","15.01178","3.036177","40"
"q32",34,"2","84.24902","97.31575","2"
"q32",34,"3","79.26096","89.86889","3"
"q32",34,"7","81.9764","77.29527","7"
"q32",34,"8","33.3565","71.39076","8"
"q32",34,"9","43.66647","70.21642","9"
"q32",34,"10","19.70228","62.19981","10"
"q32",34,"11","38.12619","55.50476","11"
"q32",34,"12","72.44866","50.82726","12"
"q32",34,"14","91.75238","43.97794","14"
"q32",34,"15","84.29897","39.23619","15"
"q32",34,"18","6.030934","30.42824","18"
"q32",34,"19","55.47073","28.62737","19"
"q32",34,"20","3.686134","22.62203","20"
"q32",34,"23","33.15379","13.35057","23"
