"","quad","year","quadname","trackID","area","survives","age","distEdgeMin","allEdge","Grazing","Group"
"1","q21",34,"e1q4.1",17,60.71061,0,1,7.70546722412109,0,"No","lb1"
"2","q21",34,"e1q4.1",18,94.36138,1,1,3.34566640853882,0,"No","lb1"
"3","q21",34,"e1q4.1",6,20.27935,1,1,10.3988342285156,0,"No","lb1"
"4","q21",48,"e1q4.1",34,222.0582,1,9,3.02087664604187,0,"No","lb1"
"5","q21",41,"e1q4.1",26,24.69319,0,2,14.3740768432617,0,"No","lb1"
"6","q21",55,"e1q4.1",39,2.899262,0,12,2.80746459960938,1,"No","lb1"
"7","q21",55,"e1q4.1",62,5.467085,1,2,14.793098449707,0,"No","lb1"
"8","q21",55,"e1q4.1",29,10.5062586,0,16,23.1156234741211,0,"No","lb1"
"9","q21",55,"e1q4.1",6,31.0121686,1,22,-0.0344009399414062,0,"No","lb1"
"10","q21",55,"e1q4.1",60,3.721301,1,2,11.6310501098633,0,"No","lb1"
"11","q21",55,"e1q4.1",25,22.258597,1,16,3.70585632324219,0,"No","lb1"
"12","q21",55,"e1q4.1",61,4.899311,1,2,28.4386901855469,0,"No","lb1"
"13","q21",55,"e1q4.1",44,48.9266,1,8,35.7444038391113,0,"No","lb1"
"14","q21",55,"e1q4.1",24,100.924181,1,16,6.45124816894531,0,"No","lb1"
"15","q21",55,"e1q4.1",43,87.473359,1,8,33.4523696899414,0,"No","lb1"
"16","q21",55,"e1q4.1",20,98.38534,1,19,2.00072717666626,0,"No","lb1"
"17","q21",55,"e1q4.1",21,25.635768,1,16,0.559715270996094,0,"No","lb1"
"18","q21",55,"e1q4.1",33,76.733762,1,16,8.70250701904297,0,"No","lb1"
"19","q21",55,"e1q4.1",31,239.813712,1,16,5.45802307128906,0,"No","lb1"
"20","q21",55,"e1q4.1",48,15.58248,1,6,7.13370752334595,0,"No","lb1"
"21","q21",55,"e1q4.1",50,21.017202,1,5,19.6123046875,0,"No","lb1"
"22","q21",55,"e1q4.1",45,175.15199,1,8,0.036452267318964,0,"No","lb1"
"23","q21",55,"e1q4.1",59,7.051533,1,2,4.77152967453003,0,"No","lb1"
"24","q21",55,"e1q4.1",56,15.396774,1,4,34.9436340332031,0,"No","lb1"
"25","q21",55,"e1q4.1",54,25.10104,1,5,-0.0689097791910172,1,"No","lb1"
"26","q21",55,"e1q4.1",34,33.39357,1,16,14.1148071289062,0,"No","lb1"
"27","q21",55,"e1q4.1",22,153.72346,1,16,-0.248802185058594,0,"No","lb1"
"28","q21",55,"e1q4.1",51,55.44404,1,5,0.0223993454128504,0,"No","lb1"
"29","q21",42,"e1q4.1",36,59.97174,1,2,0.435661315917969,0,"No","lb1"
"30","q21",42,"e1q4.1",20,80.06492,1,6,3.51968479156494,0,"No","lb1"
"31","q21",35,"e1q4.1",18,26.41112,1,2,4.23444366455078,0,"No","lb1"
"32","q21",35,"e1q4.1",6,11.0016,1,2,6.01095581054688,0,"No","lb1"
"33","q21",56,"e1q4.1",61,2.945834,0,3,27.5054779052734,0,"No","lb1"
"34","q21",49,"e1q4.1",6,31.510758,1,16,0.13525390625,0,"No","lb1"
"35","q21",49,"e1q4.1",21,70.36552,1,10,0.0183334350585938,0,"No","lb1"
"36","q21",49,"e1q4.1",44,21.36736,1,2,38.1807250976562,0,"No","lb1"
"37","q21",49,"e1q4.1",29,71.62491,1,10,22.4084014892578,0,"No","lb1"
"38","q21",49,"e1q4.1",24,150.0734,1,10,6.84352874755859,0,"No","lb1"
"39","q21",49,"e1q4.1",22,156.62004,1,10,0.120697021484375,0,"No","lb1"
"40","q21",49,"e1q4.1",37,41.09076,1,7,0.895554721355438,0,"No","lb1"
"41","q21",49,"e1q4.1",31,230.9272,1,10,12.1200180053711,0,"No","lb1"
"42","q21",49,"e1q4.1",43,30.65276,1,2,44.3651313781738,0,"No","lb1"
"43","q21",49,"e1q4.1",20,83.22653,1,13,0.723902225494385,0,"No","lb1"
"44","q21",49,"e1q4.1",34,205.59396,1,10,3.32101464271545,0,"No","lb1"
"45","q21",49,"e1q4.1",33,147.6003,1,10,5.05817413330078,0,"No","lb1"
"46","q21",49,"e1q4.1",39,43.94467,1,6,-0.151878356933594,0,"No","lb1"
"47","q21",49,"e1q4.1",25,181.54759,1,10,2.55843353271484,0,"No","lb1"
"48","q21",36,"e1q4.1",18,21.90741,1,3,2.2425012588501,0,"No","lb1"
"49","q21",36,"e1q4.1",6,26.79545,1,3,4.30419158935547,0,"No","lb1"
"50","q21",36,"e1q4.1",19,21.31911,0,1,31.140022277832,0,"No","lb1"
"51","q21",43,"e1q4.1",36,65.02607,1,3,0.380195617675781,0,"No","lb1"
"52","q21",43,"e1q4.1",20,35.93612,1,7,2.99789690971375,0,"No","lb1"
"53","q21",43,"e1q4.1",32,37.38192,1,4,18.1387176513672,0,"No","lb1"
"54","q21",43,"e1q4.1",31,117.36423,1,4,16.8680572509766,0,"No","lb1"
"55","q21",43,"e1q4.1",34,55.68511,1,4,10.0321884155273,0,"No","lb1"
"56","q21",43,"e1q4.1",29,48.98088,1,4,22.8761291503906,0,"No","lb1"
"57","q21",37,"e1q4.1",6,61.78376,1,4,3.96135711669922,0,"No","lb1"
"58","q21",37,"e1q4.1",20,23.94982,1,1,-0.053023025393486,1,"No","lb1"
"59","q21",37,"e1q4.1",18,47.53263,1,4,1.22871077060699,0,"No","lb1"
"60","q21",56,"e1q4.1",50,5.802366,1,6,24.0937271118164,0,"No","lb1"
"61","q21",56,"e1q4.1",21,2.681295,0,17,3.87682342529297,0,"No","lb1"
"62","q21",56,"e1q4.1",48,2.337263,1,7,7.85647630691528,0,"No","lb1"
"63","q21",56,"e1q4.1",56,9.217468,1,5,33.4829635620117,0,"No","lb1"
"64","q21",56,"e1q4.1",51,29.72948,1,6,5.01736307144165,0,"No","lb1"
"65","q21",56,"e1q4.1",54,25.382869,0,6,-0.00251477584242821,1,"No","lb1"
"66","q21",56,"e1q4.1",6,26.135384,1,23,0.491691589355469,0,"No","lb1"
"67","q21",56,"e1q4.1",45,123.858089,1,9,-1.69029819965363,0,"No","lb1"
"68","q21",56,"e1q4.1",44,28.62252,1,9,37.184944152832,0,"No","lb1"
"69","q21",56,"e1q4.1",43,66.520343,1,9,31.4569396972656,0,"No","lb1"
"70","q21",56,"e1q4.1",59,3.603111,0,3,7.25642967224121,0,"No","lb1"
"71","q21",56,"e1q4.1",63,6.223564,0,1,24.8714179992676,0,"No","lb1"
"72","q21",56,"e1q4.1",34,23.451227,1,17,14.7343826293945,0,"No","lb1"
"73","q21",40,"e1q4.1",35,1.679919,0,1,9.76850318908691,0,"No","lb1"
"74","q21",38,"e1q4.1",20,32.74408,1,2,-0.00246053584851325,1,"No","lb1"
"75","q21",38,"e1q4.1",6,107.5887,1,5,2.16246795654297,0,"No","lb1"
