"quad","year","totCover"
"q21",34,143.725233
"q22",34,120.128535
"q23",34,267.416673
"q24",34,195.401998
"q25",34,180.690206
"q27",34,510.462056
"q28",34,872.520794
"q32",34,202.807006
"q21",35,95.6811629
"q22",35,28.04146
"q23",35,88.733913
"q24",35,105.004491
"q25",35,357.499056
"q27",35,1014.431453
"q28",35,501.5482884
"q30",35,1019.19006
"q31",35,332.3428409
"q32",35,585.063691
"q21",36,418.920022
"q22",36,158.7098146
"q23",36,443.752763
"q24",36,518.278346
"q25",36,585.997337
"q27",36,794.095531
"q30",36,780.3873933
"q31",36,1067.4217102
"q32",36,659.882333
"q21",37,1043.271142
"q22",37,435.525857
"q23",37,700.661396
"q24",37,1106.153864
"q25",37,928.1950465
"q27",37,1242.3033239
"q28",37,1882.544899
"q30",37,1646.808028
"q31",37,1406.578328
"q32",37,1354.343384
"q21",38,1174.47992
"q22",38,710.1753
"q23",38,933.581034
"q24",38,1775.56964
"q25",38,1888.209863
"q27",38,1199.680024
"q28",38,2326.37938
"q30",38,1967.620015
"q31",38,1979.858729
"q32",38,1845.484691
"q21",39,999.075319
"q22",39,1008.3240825
"q23",39,1355.634988
"q24",39,1966.226477
"q25",39,1778.230272
"q27",39,2010.9458
"q28",39,3853.664397
"q30",39,1252.3045512
"q31",39,1037.1174872
"q32",39,1759.172337
"q21",40,597.269099
"q22",40,713.628576
"q23",40,999.580543
"q24",40,1540.645849
"q25",40,95.742645
"q27",40,789.201043
"q28",40,1919.278039
"q30",40,202.1023661
"q31",40,61.881207
"q32",40,587.961702
"q21",41,2001.968965
"q22",41,1676.7866788
"q23",41,2095.0821797
"q24",41,2491.209708
"q25",41,560.2039595
"q27",41,2291.6829051
"q28",41,3376.0353869
"q30",41,730.883847
"q31",41,71.370839
"q32",41,1242.770004
"q21",42,2315.338156
"q22",42,2090.8210503
"q23",42,2656.919444
"q24",42,3427.723315
"q25",42,1853.83972
"q27",42,3032.574032
"q28",42,4734.673639
"q30",42,675.7675671
"q31",42,295.1389
"q32",42,1070.65883
"q21",43,2729.8994714
"q22",43,1802.6678768
"q23",43,2412.630843
"q24",43,3610.5479
"q25",43,1660.890863
"q27",43,3826.9211247
"q28",43,5909.723715
"q30",43,1629.91935
"q31",43,594.239425
"q32",43,1577.072508
"q21",44,3153.395208
"q22",44,3105.899712
"q23",44,3195.034221
"q24",44,4361.641731
"q25",44,1871.22907
"q27",44,5248.19737
"q28",44,7478.52142
"q30",44,630.15877
"q31",44,895.402986
"q32",44,1070.345137
"q21",45,1813.431219
"q22",45,1601.600601
"q23",45,1734.87063
"q24",45,2855.384799
"q25",45,1855.818722
"q27",45,1601.7269192
"q28",45,6912.463637
"q30",45,926.18798
"q31",45,680.396309
"q32",45,1189.228144
"q21",46,1731.744276
"q22",46,1430.092845
"q23",46,1288.126404
"q24",46,2211.674951
