"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","quadname","Grazing","Group"
"1","q21",34,18,1.561851,0,1,0.867599487304688,1,"e1q4.1","No","lb1"
"2","q21",34,23,2.604328,1,1,30.893310546875,0,"e1q4.1","No","lb1"
"3","q21",34,26,3.308992,1,1,7.41853332519531,0,"e1q4.1","No","lb1"
"4","q21",34,27,1.734511,0,1,20.5170822143555,0,"e1q4.1","No","lb1"
"5","q21",34,28,2.187092,1,1,18.9987335205078,0,"e1q4.1","No","lb1"
"6","q21",34,20,4.141117,1,1,20.4183120727539,0,"e1q4.1","No","lb1"
"7","q21",34,21,1.065136,1,1,22.329963684082,0,"e1q4.1","No","lb1"
"8","q21",34,22,1.616796,0,1,22.1214218139648,0,"e1q4.1","No","lb1"
"9","q21",34,17,5.980866,1,1,0.818099975585938,1,"e1q4.1","No","lb1"
"10","q21",34,24,1.403368,0,1,12.9579696655273,0,"e1q4.1","No","lb1"
"11","q21",34,19,4.926821,1,1,8.80210876464844,0,"e1q4.1","No","lb1"
"12","q21",34,30,1.869343,1,1,3.32324981689453,0,"e1q4.1","No","lb1"
"13","q21",34,25,1.100871,0,1,11.5309524536133,0,"e1q4.1","No","lb1"
"14","q21",34,29,0.8038312,1,1,16.0878829956055,0,"e1q4.1","No","lb1"
"15","q21",35,36,13.4757,1,1,23.4368438720703,0,"e1q4.1","No","lb1"
"16","q21",35,33,7.859422,0,1,35.174934387207,0,"e1q4.1","No","lb1"
"17","q21",35,38,4.465223,1,1,-0.460829377174377,1,"e1q4.1","No","lb1"
"18","q21",35,31,11.92878,1,1,9.64382171630859,0,"e1q4.1","No","lb1"
"19","q21",35,34,3.333881,0,1,3.58062744140625,0,"e1q4.1","No","lb1"
"20","q21",35,37,7.652624,0,1,26.2997550964355,0,"e1q4.1","No","lb1"
"21","q21",35,32,6.166724,0,1,27.3166885375977,0,"e1q4.1","No","lb1"
"22","q21",35,35,3.451572,0,1,3.42819213867188,0,"e1q4.1","No","lb1"
"23","q21",40,39,4.759089,0,1,6.26449584960938,0,"e1q4.1","No","lb1"
"24","q21",40,40,42.60372,1,1,6.39384794235229,0,"e1q4.1","No","lb1"
"25","q21",40,41,5.13283,1,1,2.40072703361511,0,"e1q4.1","No","lb1"
"26","q21",42,43,0.5219942,0,1,22.7697525024414,0,"e1q4.1","No","lb1"
"27","q21",42,46,23.15414,1,1,-0.767219543457031,1,"e1q4.1","No","lb1"
"28","q21",42,42,1.760047,0,1,20.3318634033203,0,"e1q4.1","No","lb1"
"29","q21",42,44,0.5262414,0,1,24.2274188995361,0,"e1q4.1","No","lb1"
"30","q21",42,45,62.84468,0,1,4.66847229003906,0,"e1q4.1","No","lb1"
"31","q21",45,47,11.49184,1,1,-0.622108995914459,1,"e1q4.1","No","lb1"
"32","q21",46,49,5.299228,0,1,-0.229019165039062,1,"e1q4.1","No","lb1"
"33","q21",46,48,4.514735,1,1,-0.263397216796875,1,"e1q4.1","No","lb1"
"34","q21",46,51,7.873575,1,1,5.80116271972656,0,"e1q4.1","No","lb1"
"35","q21",46,50,4.265132,0,1,-0.640403747558594,1,"e1q4.1","No","lb1"
"36","q21",47,52,2.609634,0,1,9.60662841796875,0,"e1q4.1","No","lb1"
"37","q21",47,54,5.367175,0,1,34.5029296875,0,"e1q4.1","No","lb1"
"38","q21",47,56,9.680032,0,1,-0.141863524913788,1,"e1q4.1","No","lb1"
"39","q21",47,55,10.60369,0,1,2.90018248558044,0,"e1q4.1","No","lb1"
"40","q21",47,53,8.58038,0,1,13.7779159545898,0,"e1q4.1","No","lb1"
"41","q21",48,57,5.474265,1,1,15.114429473877,0,"e1q4.1","No","lb1"
"42","q21",50,59,2.045842,0,1,19.9079818725586,0,"e1q4.1","No","lb1"
"43","q21",50,64,6.061079,0,1,2.29353332519531,1,"e1q4.1","No","lb1"
"44","q21",50,61,2.886257,0,1,24.5436782836914,0,"e1q4.1","No","lb1"
"45","q21",50,67,3.95941,0,1,8.79945182800293,0,"e1q4.1","No","lb1"
"46","q21",50,62,2.106939,0,1,37.1591835021973,0,"e1q4.1","No","lb1"
"47","q21",50,63,6.289899,0,1,0.0041351318359375,1,"e1q4.1","No","lb1"
"48","q21",50,58,3.940391,0,1,13.8869171142578,0,"e1q4.1","No","lb1"
"49","q21",50,65,3.844568,1,1,6.01971435546875,0,"e1q4.1","No","lb1"
"50","q21",50,60,3.674444,0,1,30.9009094238281,0,"e1q4.1","No","lb1"
"51","q21",50,66,4.407029,0,1,1.19467163085938,1,"e1q4.1","No","lb1"
"52","q21",50,68,8.488338,1,1,2.62146687507629,0,"e1q4.1","No","lb1"
"53","q21",52,69,10.56056,1,1,22.947151184082,0,"e1q4.1","No","lb1"
"54","q21",53,76,9.628629,1,1,7.89089965820312,0,"e1q4.1","No","lb1"
"55","q21",53,74,9.795358,1,1,15.2051391601562,0,"e1q4.1","No","lb1"
"56","q21",53,77,5.864838,0,1,2.86800312995911,1,"e1q4.1","No","lb1"
"57","q21",53,70,0.2183879,0,1,-0.0437698364257812,1,"e1q4.1","No","lb1"
"58","q21",53,75,5.77669,1,1,13.8728399276733,0,"e1q4.1","No","lb1"
"59","q21",53,72,11.98501,1,1,2.35334777832031,0,"e1q4.1","No","lb1"
"60","q21",53,71,1.270713,0,1,-0.0409164428710938,1,"e1q4.1","No","lb1"
