Site,Species,Alpha
Arizona,BOER,0.029
Arizona,BORO,0.041
Idaho,ARTR,0.004
Idaho,HECO,0.048
Idaho,POSE,0.04
Idaho,PSSP,0.017
Kansas,BOCU,0.018
Kansas,BOHI,0.01
Kansas,SCSC,0.008
Montana,BOGR,0.024
Montana,HECO,0.047
Montana,PASM,0.045
Montana,POSE,0.047
NewMexico,BOER,0.026
NewMexico,SPFL,0.029
