"quad","year","SP_ID","x","y","GenID"
"q21",34,"25","58.07022","90.33938","25"
"q21",34,"26","5.846054","97.58257","26"
"q21",34,"27","21.04316","90.39149","27"
"q21",34,"28","1.960663","87.82484","28"
"q21",34,"29","74.1558","79.14305","29"
"q21",34,"30","24.71004","68.52878","30"
"q21",34,"31","66.66783","56.45003","31"
"q21",34,"32","84.10881","61.41433","32"
"q21",34,"33","78.96921","62.75679","33"
"q21",34,"34","92.99091","60.97123","34"
"q21",34,"35","38.55801","48.9139","35"
"q21",34,"36","2.868332","39.60239","36"
"q21",34,"37","90.44895","35.57486","37"
"q21",34,"38","56.2351","33.78806","38"
"q21",34,"39","18.75973","28.29581","39"
"q21",34,"40","66.97614","25.79579","40"
"q21",34,"41","37.56604","21.83277","41"
"q21",34,"42","14.38809","18.39158","42"
"q21",34,"43","5.96315","16.00084","43"
"q21",34,"44","2.670395","8.771226","44"
"q22",34,"16","10.04387","97.43478","16"
"q22",34,"17","40.87508","75.41283","17"
"q22",34,"18","66.21355","82.13037","18"
"q22",34,"19","87.88667","72.33031","19"
"q22",34,"20","54.37279","80.65337","20"
"q22",34,"21","12.04983","72.1826","21"
"q22",34,"22","60.72164","76.91032","22"
"q22",34,"23","68.46706","65.42788","23"
"q22",34,"24","61.84846","68.12601","24"
"q22",34,"25","32.45531","63.81844","25"
"q22",34,"26","89.41745","48.6051","26"
"q22",34,"27","58.91941","61.18058","27"
"q22",34,"28","29.3524","60.94905","28"
"q22",34,"29","22.4836","52.84828","29"
"q22",34,"30","7.851206","31.67419","30"
"q22",34,"31","34.98896","45.72954","31"
"q22",34,"32","44.60571","44.43581","32"
"q22",34,"33","61.34904","27.33166","33"
"q22",34,"34","32.18375","30.60401","34"
"q22",34,"35","90.28401","28.24357","35"
"q22",34,"36","79.68069","24.53438","36"
"q23",34,"28","3.242356","95.06134","28"
"q23",34,"29","95.01026","88.24124","29"
"q23",34,"30","28.03551","90.78125","30"
"q23",34,"31","10.47646","84.97559","31"
"q23",34,"32","27.73346","83.31682","32"
"q23",34,"33","19.49932","79.50238","33"
"q23",34,"34","7.46887","76.99519","34"
"q23",34,"35","78.72534","75.43539","35"
"q23",34,"36","12.74847","75.34701","36"
"q23",34,"37","18.7164","74.65115","37"
"q23",34,"38","66.11536","64.31825","38"
"q23",34,"39","32.74562","43.65518","39"
"q23",34,"40","76.6571","36.49372","40"
"q23",34,"41","3.528643","36.87092","41"
"q23",34,"42","6.496845","36.27132","42"
"q23",34,"43","39.09686","18.75885","43"
"q23",34,"44","17.15919","18.76617","44"
"q23",34,"45","79.32941","23.50866","45"
"q23",34,"46","99.51548","18.80814","46"
"q23",34,"47","80.53159","15.65841","47"
"q23",34,"48","7.115854","12.27101","48"
"q23",34,"49","27.4883","13.56824","49"
"q23",34,"50","95.54457","14.30599","50"
"q23",34,"51","61.39871","8.754061","51"
"q23",34,"52","74.66508","9.63254","52"
"q23",34,"53","69.89111","9.139764","53"
"q23",34,"54","92.51355","1.79625","54"
"q24",34,"30","34.45206","85.33772","30"
"q24",34,"31","93.13722","75.02624","31"
"q24",34,"32","46.84282","80.65767","32"
"q24",34,"33","62.51611","76.69204","33"
"q24",34,"34","12.86847","70.1651","34"
"q24",34,"35","38.73703","71.46437","35"
"q24",34,"36","50.55767","66.52611","36"
"q24",34,"37","98.14742","58.4242","37"
"q24",34,"38","62.46883","61.71351","38"
"q24",34,"39","35.81432","53.38759","39"
"q24",34,"40","70.38812","54.21845","40"
"q24",34,"41","40.46259","43.35931","41"
"q24",34,"42","18.82639","38.52104","42"
"q24",34,"43","39.9486","28.89917","43"
"q24",34,"44","66.43092","18.41139","44"
"q24",34,"45","3.350021","23.27096","45"
"q24",34,"46","98.61669","21.53542","46"
"q24",34,"47","90.66747","12.1308","47"
"q24",34,"48","28.36037","5.487434","48"
"q24",34,"49","8.742584","8.593178","49"
"q24",34,"50","57.47199","3.536713","50"
"q24",34,"51","2.430244","1.379303","51"
"q25",34,"15","81.34814","57.77929","15"
"q25",34,"16","22.82947","87.37626","16"
"q25",34,"17","28.89441","66.16685","17"
"q25",34,"18","37.52646","55.47029","18"
"q25",34,"19","61.51287","54.3742","19"
"q25",34,"20","34.144","20.67003","20"
"q25",34,"21","7.37609","19.97353","21"
"q27",34,"64","21.98567","98.76531","64"
"q27",34,"65","67.66014","96.09178","65"
"q27",34,"66","81.35004","94.7213","66"
"q27",34,"67","49.25232","94.54256","67"
"q27",34,"68","91.82977","93.54608","68"
"q27",34,"69","3.817423","93.48389","69"
"q27",34,"70","96.93809","91.58686","70"
"q27",34,"71","14.54303","91.12043","71"
"q27",34,"72","6.321476","91.36681","72"
"q27",34,"73","73.13574","89.99833","73"
"q27",34,"74","39.57521","89.5186","74"
